College Code,College Name
2747,"Shree Venkateshwara Hi-Tech Engineering College, Othakuthirai, K Mettupalayam Post, Gobichettipalayam, Erode District 638455"
2748,"Surya Engineering College, Mettukadai, Kathirampatti Post, Erode District 638107"
2749,"EASA College of Engineering and Technology, NH-47, CoimbatorePalakkad Main Road, Navakarai Post, Coimbatore District 641105"
2750,"KIT-Kalaignar Karunanidhi Institute of Technology (Autonomous), Kannampalayam, Coimbatore District 641402"
2751,"KGISL Institute of Technology, KGISL Campus, Thudiyalur Road, Saravanampatti, Coimbatore District 641035"
2752,"Nandha College of Technology, Pitchandampalayam Post, Erode District 638052"
2753,"P P G Institute of Technology, Vilankurichi Village, Coimbatore District 641035"
2755,"Nehru Institute of Technology, Thirumalayampalayam Post, Coimbatore District 641105"
2758,"J K K Muniraja College of Technology, T N Palayam, Gobi Taluk, Erode District 638506"
2759,"McGans Ooty School Of Architecture, Summer House Road, Ooty, The Nilgiris 643001"
2761,"United Institute of Technology, Gadalore Village, Perianaickenpalayam, Coimbatore District 641020"
2762,"Jansons Institute of Technology, Karumathampatty, Somaur, Coimbatore District 641659"
2763,"Akshaya College of Engineering and Technology, Kinathukadavu, Coimbatore District 642109"
2764,"K P R Institute of Engineering and Technology (Autonomous), Kollupalayam Village, Arasur Panchayat, Coimbatore District 641407"
2767,"SRG Engineering College, Aniyapuram Post, Namakkal District 637017"
2768,"Park College of Technology, Prema Ravi Nagar, Karumathampatty, Coimbatore District 641059"
2769,"J C T College of Engineering and Technology, Pichanur, Coimbatore District 641105"
2770,"Study World College of Engineering, Madukarai Post, Coimbatore - 641 105."
2772,"C M S College of Engineering and Technology, Appachigoundenpathy, Kumittipatti, Coimbatore District 641105"
2776,"R V S Technical Campus-Coimbatore, Kumaran Kottam Campus, Kannampalayam, Sulur, Coimbatore District 641 402"
2779,"Ranganathan Architecture College, Viraliyur Post, Thondamuthur Via, Coimbatore District 641109"
3410,"Krishnaswamy Collge of Engineering and Technology, S Kumarapuram, Cuddalore District 607109"
3425,"C K College of Engineering and Technology, Chellangkuppam, Cuddalore District 607003"
3446,"Prime College of Architecture and Planning, Main Road, Kilvelur, Nagapattinam District 611104"
3451,"SMR East Coast College of Engineering & Technology, East Coast Road, Somanathapattinam, Thanjavur District 614612"
3454,"Sri Ramakrishna College of Engineering, Sri Saradha Nagar, NH-45, Perambalur District 621113"
3456,"K S K College of Engineering and Technology, Thanjavur Main Road, Darasuram, Kumbakonam, Thanjavur District 612702"
3460,"Surya College of Engineering, Konalai, Tiruchirappalli District 621132"
3461,"Arifa Institute of Technology(Formerly Haji sheik Ismail Engineering College), Esanoor, Keelaiyur Post, Thirukkuvalai Taluk, Nagapattinam District 611103"
3462,"Ariyalur Engineering College, NH-227, Trichy-Chithambaram NH, Karuppur-Senapathy Post, Ariyalur District 621707"
3466,"Nelliandavar Institute of Technology, Nerunjikorai Village, Pudhupalayam, Ariyalur Taluk, Ariyalur District 621704"
3467,"Prime Nest College of Architecture and Planning, V.J.P. Campus, Trichy-Chennai Highway, Navaladiyan Nagar, Siruganur, Tiruchirappalli District 621105"
3701,"K Ramakrishnan College of Technology(Auotonomous), Kariyamanickam Road, Samayapuram, Manachanallur Taluk, Tiruchirappalli District 621112"
3760,"Sir Issac Newton College of Engineering and Technology, Anthanapeetai Post, Papakoil, Nagappattinam District 611102"
3766,"Star Lion College of Engineering & Technology, Manankorai Main Road, Manankorai Village, Thanjavur District 614206"
3782,"OASYS Institute of Technology , Pulivalam Village, Musiri Taluk, Tiruchirappalli District 626001"
3783,"M.A.M. School of Architecture, Siruganur, Tiruchirappalli District 621105"
3784,"C.A.R.E School of Architecture, Engineering, Thayanoor Village, Kuttappatti, Srirangam Taluk, Tiruchirappalli District 620009"
3786,"M.A.M. School of Engineering, Siruganur, Tiruchirappalli District 621105"
3795,"SRM TRP Engineering College, Irungalur, Manachanallur Taluk, Tiruchirappalli District 621105"
3801,"A V C College of Engineering, Mannampandal Post, Mayiladuthurai, Nagappattinam District 609305"
3802,"Shri Angalamman College of Engineering and Technology Siruganoor, Tiruchirappalli District 621105"
3803,"Anjalai Ammal-Mahalingam Engineering College, Kovilvenni, Thiruvarur District 614403"
3804,"Arasu Engineering College, Chennai Main Road, Kumbakonam, Thanjavur District 612501"
3805,"Dhanalakshmi Srinivasan Engineering College (Autonomous), Thuraiyur Road, Perambalur District 621212"
3806,"E G S Pillay Engineering College (Autonomous), Nagapattinam District 611002"
3807,"J J College of Engineering and Technology, Poolankulathupatti Post, Thiruchirappalli District 620009"
3808,"Jayaram College of Engineering and Technology , Pagalavadi Post, Tiruchirappalli District 621014"
3809,"Kurinji College of Engineering and Technology, Manapparai, Tiruchirappalli District 621307"
3810,"M.A.M. College of Engineering, Siruganur, Tiruchirappalli District 621105"
3811,"M I E T Engineering College, Trichy-Pudukkottai Road, Tiruchirappalli District 620007"
3812,"Mookambigai College of Engineering, Keeranur, Pudukkottai District 622502"
3813,"Oxford Engineering College, Pirattiyur(W), Tiruchirappalli District 620009"
3814,"P R Engineering College, Vallam, Thanjavur District 613403"
3815,"Pavendhar Bharathidasan College of Engineering and Technology, Pudukkottai Main Road, Tiruchirappalli District 620024"
3817,"Roever Engineering College, Elambalur, Perambalur District 621212"
3819,"Saranathan College of Engineering, Panjappur, Tiruchirappalli District 620012"
3820,"Trichy Engineering College, Konalai, Tiruchirappalli District 621132"
3821,"A R J College of Engineering and Technology, Mannargudi Taluk, Thiruvarur District 614001"
3822,"Dr. Navalar Nedunchezhian College of Engineering, Tholudur, Cuddalore District 606303"
3825,"St. Josephs College of Engineering and Technology, Elupatti Village, Rawaspatti Post, Thanjavur District 613403"
3826,"Kongunadu College of Engineering and Technology (Autonomous), Tholurpatti, Thottiyam, Tiruchirappalli District 621215"
3829,"M.A.M. College of Engineering and Technology, Trichy-Chennai Trunk Road, Siruganur, Tiruchirappalli District 621105"
3830,"K Ramakrishnan College of Engineering (Autonomous), Kariyamanickam Road, Samayapuram, Manachanallur Taluk, Tiruchirappalli District 621112"
3831,"Indra Ganesan College of Engineering, Madurai Main Road, Manikandam, Tiruchirappalli District 620012"
3833,"Parisutham Institute of Technology and Science, Ring Road, Nanjikottai, Thanjavur District 613006"
3841,"CARE College of Engineering, Thayanoor Village, Thayanoor Village, Kuttappatti, Srirangam Taluk, Tiruchirappalli District 620009"
3843,"M R K Institute of Technology, Nattarmangalam Village, Kattumannarkoil, Cuddalore District 608306"
3844,"Shivani Engineering College, Ammapettai, Srirangam, Tiruchirappalli District 620009"
3846,"Mother Terasa College of Engineering and Technology, Mettusalai Post and Taluk, Pudukkottai District 622102"
3848,"Vandayar Engineering College, Pulavarnatham Post, Mariamman Koil (Via), Thanjavur District 613001"
3849,"Annai College of Engineering and Technology, Kovilacheri, Kumbakonam, Thanjavur District 612503"
3850,"Vetri Vinayaha College of Engineering and Technology, NamakkalTrichy Main Road, Tholurpatti Village, Thottiam, Tiruchirappalli District 621215"
3852,"Sri Bharathi Engineering College for Women, Kaikkuruchi Village, Alangudi Taluk, Pudukkottai District 622303"
3854,"Mahath Amma Institute of Engineering and Technology (MIET), Ariyur, Annavasal Road, Illupur Taluk, Pudukkottai District 622101"
3855,"As-Salam College of Engineering and Technology, Thirumangalakudi, Aduthurai, Thiruvidaimaruthur, Thanjavur District 612102"
3857,"Meenakshi Ramaswamy Engineering College, Trichy Main Road, Thathanur, Udayarpalayam, Ariyalur District 621804"
3859,"Sembodai Rukmani Varatharajan Engineering College, Sembodai Village, Vedaraniam, Nagappattinam District 614820"
3860,"St. Annes College of Engineering and Technology, Anguchettypalayam, Siruvathur Post, Panruti, Cuddalore District 607110"
3905,"Kings College of Engineering, Punalkulam, Pudukkottai District 613303"
3908,"Mount Zion College of Engineering and Technology, Pilivalam Post, Pudukkottai District 622507"
3918,"Shanmuganathan Engineering College, Pillivalam Post, Pudukkottai District 622507"
3920,"Sudharsan Engineering College, Sathiyamangalam Post, Pudukkottai District 622501"
3926,"CHENDURAN COLLEGE OF ENGINEERING& TECHNOLOGY, THIRUMAYAM PUDUKOTTAI - 622507"
4669,"Thamirabharani Engineering College, Chathirampudukulam Village, Thatchanallur, Tirunelveli District 625358"
4670,"Rohini College of Engineering & Technology, AnjugramamKanyakumari Main Road, Palkulam, Variyoor Post, Kanyakumari District 629401"
4671,"Sigma College of Architecture, Moododu, Anducode Post, Marthandam, Kanyakumari District 629168"
4672,"Stella Marys College of Engineering, Arunthengan Vilai, Azhikal Post, Kanyakumari District 629202"
4675,"Universal College of Engineering and Technology, Anbagam Campus, Radhapuram Road, Vallioor, Tirunelveli District 627117"
4676,"Renganayagi Varatharaj College of Engineering, Salvarpatti, Sivakasi, Virudhunagar District 626128"
4677,"Lourdes Mount College of Engineering and Technology, Marthandam-Karungal Road, Chundavilai, Mullanganavilai, Nattalam Post, Kanyakumari District 629195"
4678,"Ramco Institute of Technology, North venganallur Village, Krishnapuram Panchayat, Rajapalayam, Virudhunagar District 626117"
4679,"V.P.M.M. College of Architecture for Women, V.P.M. Nagar, Krishnankoil, Srivilliputtur, Virudhunagar District 626190"
4680,"AAA College of Engineering and Technology, Kamarajar Educational Road, Amathur Village, Sivakasi, Virudhunagar District 626005"
4686,"GOOD SHEPHERD COLLEGE OF ENGINEERING AND TECHNOLOGY, MARUTHAMPARAI, KANYAKUMARI"
4864,"V V College of Engineering, Arasoor Village, Idaichivilai Post, Santhakulam Taluk, Thoothukudi District 628656"
4917,"Sethu Institute of Technology (Autonomous), Kariapatti Post, Virudhunagar District 626106"
4927,"Maria College of Engineering and Technology, Attoor Puliyamoodu Junction, Thiruvattar Post, Kanyakumari District 629177"
4928,"MAR Ephraem College of Engineering & Technology, Malankara Hills, Elavuvillai, Marthandam, Kanyakumari District 629171"
4929,"M E T Engineering College, Mogals Garden, Thovalai Village, Aralvaimozhi Town Panchayat, Thovalai, Kanyakumari District 629304"
4931,"Grace College of Engineering, Chandy Nagar, Mullakkadu, Thoothukudi District 628005"
4932,"Immanuel Arasar J J College of Engineering, Anappara, Edavilagam, Nattalam, Kanyakumari District 629195"
4933,"St. Mother Theresa Engineering College, Vagaikulam, Thoothukudi District 628102"
4934,"Holy Cross Engineering College, Vagaikulam, Sri Mulakarai, Srivaikuntam, Thoothukudi District 628851"
4937,"A R College of Engineering and Technology, Kadayam-Alangulam Road, Therikkumadathoor Post, Tenkasi District 627423"
4938,"Sivaji College of Engineering and Technology, Manivilla Palulai Panchayat, Vilavancode, Kanyakumari District 629170"
4941,"Unnamalai Institute of Technology, Ayyaneri, Kovilpatti, Thoothukudi District 628502"
4943,"Satyam College of Engineering & Technology, Kannappannallur, Aralvaimozhi, Kanyakumari District 629301"
4944,"Arunachala College of Engineering for Women, Thanka Gardens, Manavilai, Vellichanthai, Nagercoil, Kanyakumari District 629203"
4945,"Vins Christian Womens College of Engineering, Chunkankadai Post, Nagercoil, Kanyakumari District 629807"
4946,"D M I Engineering College, Aralvaimozhi Village, Thovalai, Kanyakumari District 629301"
4948,"Rajas Institute of Technology , Ozhuginasery, Nagercoil, Kanyakumari District 629001"
4949,"P S N Institute of Technology & Science, Melathediyoor, Tirunelveli District 627152"
4952,"C S I Institute of Technology, Thovalai, Kanyakumari District 629302"
4953,"CAPE Institute of Technology, Levingipuram, Tirunelveli District 627114"
4954,"Dr. Sivanthi Aditanar College of Engineering, Tiruchendur, Thoothukudi District 628215"
4955,"Francis Xavier Engineering College (Autonomous), Vannarpettai, Tirunelveli District 627003"
4956,"Jayamatha Engineering College, Aralvaimozhi, Kanyakumari District - 629301"
4957,"Jayaraj Annapackiam CSI College of Engineering, Nazareth, Thoothukudi District 628617"
4959,"Kamaraj College of Engineering and Technology (Autonomous), Virudhunagar District 626001"
4960,"Mepco Schlenk Engineering College (Autonomous), Sivakasi, Virudhunagar District 626005"
4961,"Nellai College of Engineering, Maruthakulam Post, Tirunelveli District 627151"
4962,"National Engineering College (Autonomous), Kovilpatti, Thoothukudi District 628503"
4964,"P S N College of Engineering and Technology (Autonomous), Melathediyoor, Tirunelveli Dstrict 627152"
4965,"P S R Engineering College (Autonomous), Appayanaickenpatti, Sevalpatti, Virudhunagar District 626140"
4966,"PET Engineering College, Vallioor Post, Tirunelveli District 627117"
4967,"S Veerasamy Chettiar College of Engineering and Technology, Puliangudi Post, Tenkasi District 627855"
4968,"Sardar Raja College of Engineering, Alangulam, Tenkasi District 627808"
4969,"SCAD College of Engineering and Technology, Cheranmahadevi, Tirunelveli District 627414"
4970,"Sree Sowdambiga College of Engineering, Aruppukkottai Taluk, Virudhunagar District 626134"
4971,"St. Xavier Catholic College of Engineering, Chunkankadai, Nagercoil, Kanyakumari District 629807"
4972,"AMRITA College of Engineering and Technology, Erachakulam Post, Kanyakumari District 629902"
4975,"Dr. G U Pope College of Engineering, Sawyerpuram, Thoothukudi District 628251"
4976,"Infant Jesus College of Engineering, Thoothukudi Highway (NH7/A), Thoothukudi District 628851"
4977,"Narayanaguru College of Engineering, Manjalumoodu, Kanyakumari District 629151"
4978,"Udaya School of Engineering, Ammandivilai Post, Kanyakumari District 629204"
4979,"V P Muthaiah Pillai Meenakshi Ammal Engineering College for Women, Srivilliputhur Taluk, Virudhunagar District 626190"
4980,"Einstein College of Engineering, Seethaparpanallur, Tirunelveli District 627012"
4981,"Ponjesly College of Engineering, Vettornimadam Post, Nagercoil, Kanyakumari District 629003"
4982,"Vins Christian College of Engineering, Chunkankadai Post, Nagercoil, Kanyakumari District 629807"
4983,"Lord Jegannath College of Engineering and Technology, Kumarapuram, Thoppur Post, Kanyakumari District 629402"
4984,"Marthandam College of Engineering & Technology, Kuttakuzhi, Veeyanoor Post, Kanyakumari District 629177"
4989,"P S N Engineering College, Melathediyoor, Tirunelveli District 627152"
4992,"Bethlahem Institute of Engineering, Karungal, Kanyakumari District 629157"
4993,"Loyola Institute of Technology and Science, Loyola Nagar, P B No.2, Thovalai, Kanyakumari District 629302"
4994,"J P College of Engineering, College Road, Ayakudy, Tenkasi Taluk, Tenkasi District 627852"
4995,"P.S.R.R College of Engineering , Appayanaickenpatti, Sevalpatti, Sivakasi, Virudhunagar-626 140"
4996,"Sri Vidhya College of Engineering and Technology, Sivakasi Main Road, P Kumaralinapuram, Virudhunagar District 626005"
4998,"Mahakavi Bharathiyar College of Engineering and Technology, Vasudevanallur, Tenkasi District 627758"
4999,"Annai Vailankanni College of Engineering, Pothaiyadi Salai, Pottalkulam, Azhagappapuram, Kanyakumari District 629401"
5502,"Sree Raaja Raajan College of Engineering & Technology, Amaravathi Village, Amaravathi Pudur Post, Karaikudi, Sivagangai District 630301"
5530,"SSM Institute of Engineering and Technology, Kuttathupatti Village, Sindalaigundu Post, Dindigul District 624002"
5532,"Vaigai College of Engineering, Therkutheru, Melur Taluk, Madurai District 625122"
5533,"Karaikudi Institute of Technology, KIT & KIM Technical Campus, Keeranipatti, Thalakkuvur, Karaikudi, Sivagangai District 630307"
5536,"Mangayarkarasi College of Engineering, First Street, Mangayarkarasi Nagar, Paravai, Madurai District 625402"
5537,"Jainee College of Engineering and Technology, Dindigul-Theni Main Road (Near Vakkampatti), Dindigul District 624303"
5538,"J.K. College of Architecture, NH-7, Madurai Road, Begampur Post, Dindigul 624002"
5703,"Christian College of Engineering and Technology, Oddanchatram, Dindigul District 624619"
5720,"Sri Subramanya College of Engineering and Technology, Sukkamanaickanpatti, Palani, Dindigul District 624615"
5832,"N P R College of Engineering and Technology, Natham, Dindigul District 624003"
5842,"Madurai Institute of Engineering & Technology, Pottapalayam Village, Manamadurai Taluk, Sivagangai District 630611"
5862,"R V S Educational Trust's Groups of Institutions(Integrated Campus), N Paraipatti Post, Vedasandur Taluk, Dindigul District 624005"
5863,"R V S School of Architecture, N Paraipatti Post, Vedasandur Taluk, Dindigul District 624005"
5865,"Nadar Saraswathi College of Engineering and Technology, Vadupudupatti, Annanji Post, Theni District 625531"
5902,"Bharath Niketan Engineering College, Thimmarasanaickanoor, Aundipatti, Theni District 625536"
5904,"K L N College of Engineering (Autonomous), Pottapalayam, Sivagangai District 630611"
5907,"Mohamed Sathak Engineering College, Kilakarai, Ramanathapuram District 623806"
5910,"P S N A Colllege of Engineering and Technology, Dindigul District 624622"
5911,"P T R College of Engineering and Technology, Austinpatty Post, Madurai District 625008"
5912,"Pandian Saraswathi Yadav Engineering College, Thirumansolai Post, Sivagangai District 630 561"
5913,"R V S College of Engineering, N Paraipatti Post, Dindigul District 624005"
5914,"SOLAMALAI COLLEGE OF ENGINEERIG, Veerapanjan, Madurai District 625020"
5915,"SACS-M A V M M Engineering College, Kidaripatty Post, Madurai District 625001"
5919,"St. Michael College of Engineering and Technology, Kalayarkoil, Sivagangai District 630551"
5921,"Syed Ammal Engineering College, Achuthan Vayal Post, Ramanathapuram District 623502"
5924,"Ganapathy Chettiar College of Engineering and Technology, Melakavanur Post, Paramakudi, Ramanathapuram District 623706"
5930,"SBM College of Engineering and Technology, Thamaraipady, T N Paraipatti Pirivu, Dindigul District 624005"
5935,"Fatima Michael College of Engineering & Technology, Sengottai Village, Sivagangai Main Road, Madurai District 625020"
5942,"Ultra College of Engineering and Technology, Kodikulam, 1 Bit Village, Madurai-Chennai Highway, Madurai District 625104"
5986,"Velammal College of Engineering and Technology, Madurai District 625009"
5988,"Theni Kammavar Sangam College of Technology, Theni Main Road, Koduvillarpatti Post, Theni District 625534"
5990,"Latha Mathavan Engineering College, Kidaripatti Post, Alagarkoil (Via), Melur Taluk, Madurai District 625301"
2684,"Tips School of Architecture, 361/1a, karuvalur road, ss kulam post, coimbatore - 641107."
